epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2412,0,114.639,0,0,0,0,0,0,258.953,0,0.00026,0.00026,0.00026
2,90.2518,0,93.2087,0,0,0,0,0,0,245.251,0,0.00048654,0.00048654,0.00048654
3,134.118,0,82.0307,0,0,0,0,0,0,854.982,0,0.00065764,0.00065764,0.00065764
4,178.553,0,72.8078,0,0,0,0,0,0,213.658,0,0.0007733,0.0007733,0.0007733
5,222.468,0,69.4447,0,0,0,0,0,0,431.545,0,0.00083352,0.00083352,0.00083352
6,266.387,0,65.3636,0,0,0,0,0,0,197.898,0,0.0008383,0.0008383,0.0008383
7,310.276,0,62.8961,0,0,0,0,0,0,136.235,0,0.00078764,0.00078764,0.00078764
8,354.94,0,60.1711,0,0,0,0,0,0,191.814,0,0.000614,0.000614,0.000614
9,399.378,0,58.6317,0,0,0,0,0,0,120.737,0,0.000416,0.000416,0.000416
10,443.129,0,57.2685,0,0,0,0,0,0,128.043,0,0.000218,0.000218,0.000218
